City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Castro,BR,2021-04-04 18:28:02,-24.7911,-50.0119,73.24,52,49,6.4
68,Hithadhoo,MV,2021-04-04 18:30:45,-0.6,73.0833,83.82,71,100,18.37
69,Punta Arenas,CL,2021-04-04 18:30:46,-53.15,-70.9167,50.0,50,0,18.41
70,Puerto Ayora,EC,2021-04-04 18:30:46,-0.7393,-90.3518,82.4,74,20,13.8
71,Khatanga,RU,2021-04-04 18:30:46,71.9667,102.5,-13.63,88,10,8.3
72,Bonavista,CA,2021-04-04 18:30:47,48.6499,-53.1147,44.6,87,100,3.44
73,Chicama,PE,2021-04-04 18:30:47,-7.8447,-79.1469,73.4,78,0,11.5
74,Lagos,NG,2021-04-04 18:30:47,6.5833,3.75,86.0,74,20,11.5
75,Korla,CN,2021-04-04 18:30:47,41.7597,86.1469,49.87,25,0,15.84
76,Miracema Do Tocantins,BR,2021-04-04 18:30:48,-9.5618,-48.3967,86.36,70,100,1.77
77,Sijunjung,ID,2021-04-04 18:30:48,-0.6876,100.9537,70.5,91,100,2.46
78,Abnub,EG,2021-04-04 18:29:07,27.2696,31.1511,77.0,18,0,14.97
79,Honiara,SB,2021-04-04 18:30:49,-9.4333,159.95,77.88,87,40,3.18
80,Herzogenaurach,DE,2021-04-04 18:30:49,49.568,10.8857,48.2,46,0,3.44
81,Qaanaaq,GL,2021-04-04 18:30:50,77.484,-69.3632,-11.63,68,25,6.26
82,Galle,LK,2021-04-04 18:30:50,6.0367,80.217,79.3,79,100,8.72
83,Ponta Do Sol,PT,2021-04-04 18:30:50,32.6667,-17.1,63.0,60,90,3.0
84,Port-Cartier,CA,2021-04-04 18:30:50,50.0334,-66.8654,39.99,64,90,10.36
85,Teknaf,BD,2021-04-04 18:27:22,20.8624,92.3058,76.23,88,1,3.0
86,Narsaq,GL,2021-04-04 18:30:51,60.9167,-46.05,41.0,81,90,4.61
87,Whitehorse,CA,2021-04-04 18:27:56,60.7161,-135.0538,27.0,63,75,13.8
88,Bethel,US,2021-04-04 18:30:51,41.3712,-73.414,59.0,24,20,3.44
89,Jimenez,MX,2021-04-04 18:30:52,28.3333,-105.4,73.4,38,1,5.75
90,Kruisfontein,ZA,2021-04-04 18:30:52,-34.0033,24.7314,64.99,82,93,5.99
91,Butaritari,KI,2021-04-04 18:30:53,3.0707,172.7902,81.68,80,100,14.25
92,Luderitz,NA,2021-04-04 18:30:54,-26.6481,15.1594,70.27,68,0,18.12
93,Cherskiy,RU,2021-04-04 18:30:54,68.75,161.3,-18.63,100,87,3.06
94,Bluff,NZ,2021-04-04 18:30:55,-46.6,168.3333,57.0,73,86,11.99
95,Mozarlandia,BR,2021-04-04 18:30:55,-14.7447,-50.5706,87.57,56,98,6.58
96,Clyde River,CA,2021-04-04 18:30:55,70.4692,-68.5914,-9.4,77,1,9.22
97,Mount Gambier,AU,2021-04-04 18:30:56,-37.8333,140.7667,57.2,67,62,8.05
98,Chuy,UY,2021-04-04 18:30:56,-33.6971,-53.4616,74.1,71,29,11.7
99,Doka,SD,2021-04-04 18:30:57,13.5167,35.7667,90.34,13,13,15.43
100,Srednekolymsk,RU,2021-04-04 18:30:57,67.45,153.6833,-16.8,100,87,6.02
101,Bonthe,SL,2021-04-04 18:30:57,7.5264,-12.505,81.39,78,90,11.95
102,Anahuac,MX,2021-04-04 18:30:58,27.2333,-100.15,73.4,60,75,11.5
103,Maibong,IN,2021-04-04 18:30:58,25.3,93.1667,68.65,25,33,1.77
104,Banyo,CM,2021-04-04 18:30:59,6.75,11.8167,77.34,23,100,5.1
105,Puttur,IN,2021-04-04 18:30:59,12.7667,75.2167,82.4,69,40,4.61
106,Anaconda,US,2021-04-04 18:30:59,46.1285,-112.9423,60.8,17,1,11.5
107,Saint-Augustin,CA,2021-04-04 18:31:00,51.226,-58.6502,37.29,99,100,15.35
108,Grand Forks,US,2021-04-04 18:31:00,47.9417,-97.4337,63.0,20,1,9.22
109,Jawhar,SO,2021-04-04 18:31:01,2.7809,45.5005,81.12,75,95,12.19
110,Isangel,VU,2021-04-04 18:31:01,-19.55,169.2667,75.88,74,32,15.79
111,Svetlogorsk,BY,2021-04-04 18:31:01,52.6333,29.7333,35.04,73,23,5.1
112,Tuatapere,NZ,2021-04-04 18:31:01,-46.1333,167.6833,57.0,73,92,11.99
113,Tuktoyaktuk,CA,2021-04-04 18:31:02,69.4541,-133.0374,-9.4,77,40,16.11
114,Nome,US,2021-04-04 18:27:19,64.5011,-165.4064,-0.99,78,90,25.32
115,Cerritos,US,2021-04-04 18:30:38,33.8583,-118.0648,73.0,60,75,3.44
116,San Jeronimo,PE,2021-04-04 18:31:02,-11.9472,-75.2829,59.0,63,96,4.38
117,Praia Da Vitoria,PT,2021-04-04 18:31:03,38.7333,-27.0667,61.0,88,75,11.23
118,Kamphaeng Phet,TH,2021-04-04 18:31:03,16.25,99.5,76.01,79,100,9.17
119,Yinchuan,CN,2021-04-04 18:31:04,38.4681,106.2731,46.78,68,100,7.47
120,Iquique,CL,2021-04-04 18:26:46,-20.2208,-70.1431,71.6,64,0,20.71
121,Kavieng,PG,2021-04-04 18:31:04,-2.5744,150.7967,79.36,82,100,9.08
122,Pangnirtung,CA,2021-04-04 18:31:04,66.1451,-65.7125,14.0,57,75,9.22
123,Hobart,AU,2021-04-04 18:30:44,-42.8794,147.3294,55.4,67,40,6.91
124,Itaituba,BR,2021-04-04 18:31:05,-4.2761,-55.9836,89.6,62,20,6.91
125,Paamiut,GL,2021-04-04 18:31:06,61.994,-49.6678,38.52,76,84,27.2
126,Jian,CN,2021-04-04 18:31:06,27.1172,114.9793,57.11,83,100,6.26
127,Nemuro,JP,2021-04-04 18:31:07,43.3236,145.575,32.29,87,100,17.13
128,Walvis Bay,NA,2021-04-04 18:31:07,-22.9575,14.5053,75.24,53,5,14.52
129,Arraial Do Cabo,BR,2021-04-04 18:31:07,-22.9661,-42.0278,84.2,65,20,10.36
130,Milkovo,RU,2021-04-04 18:31:08,54.7167,158.6167,13.14,88,32,3.4
131,Dickinson,US,2021-04-04 18:31:08,29.4608,-95.0513,73.99,60,40,8.05
132,Najran,SA,2021-04-04 18:26:17,17.4924,44.1277,73.4,23,8,4.61
133,Nador,MA,2021-04-04 18:27:23,35.174,-2.9287,64.4,68,0,10.36
134,Tripoli,LY,2021-04-04 18:26:09,32.8752,13.1875,64.2,76,100,16.31
135,Esperance,AU,2021-04-04 18:31:09,-33.8667,121.9,62.6,88,22,11.5
136,Airai,TL,2021-04-04 18:31:09,-8.9266,125.4092,60.6,94,100,4.23
137,Aksarayskiy,RU,2021-04-04 18:31:09,46.7924,48.0119,46.0,61,0,2.73
138,Makakilo City,US,2021-04-04 18:27:41,21.3469,-158.0858,71.6,73,20,10.36
139,Severo-Kurilsk,RU,2021-04-04 18:31:10,50.6789,156.125,27.88,83,93,14.18
140,Huangchuan,CN,2021-04-04 18:26:13,32.1272,115.0394,50.0,60,96,7.78
141,Hambantota,LK,2021-04-04 18:31:10,6.1241,81.1185,75.2,88,0,2.3
142,Cabra,ES,2021-04-04 18:31:10,37.4725,-4.4421,68.0,50,22,3.0
143,Yumen,CN,2021-04-04 18:26:28,40.2833,97.2,42.57,51,18,12.55
144,Mobaye,CF,2021-04-04 18:31:11,4.319,21.1786,81.12,51,37,2.48
145,Shchors,UA,2021-04-04 18:31:11,51.8186,31.945,37.99,64,15,5.14
146,Bambous Virieux,MU,2021-04-04 18:26:21,-20.3428,57.7575,81.0,75,17,7.0
147,Darhan,MN,2021-04-04 18:31:12,49.4867,105.9228,35.91,62,1,8.01
148,Albanel,CA,2021-04-04 18:31:13,48.8832,-72.4487,42.8,33,97,3.44
149,Tabou,CI,2021-04-04 18:31:13,4.423,-7.3528,80.6,81,59,6.31
